index,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,island_Biscoe,island_Dream,island_Torgersen
147,0,39.6,18.1,186.0,4450.0,0,0,1,0
148,2,43.3,13.4,209.0,4400.0,1,1,0,0
149,0,38.5,17.9,190.0,3325.0,1,0,0,1
150,2,47.7,15.0,216.0,4750.0,1,1,0,0
151,1,47.0,17.3,185.0,3700.0,1,0,1,0
152,2,46.2,14.1,217.0,4375.0,1,1,0,0
153,2,44.4,17.3,219.0,5250.0,0,1,0,0
154,2,55.1,16.0,230.0,5850.0,0,1,0,0
155,1,45.2,16.6,191.0,3250.0,1,0,1,0
156,0,40.3,18.5,196.0,4350.0,0,0,1,0
157,1,51.5,18.7,187.0,3250.0,0,0,1,0
158,1,50.5,18.4,200.0,3400.0,1,0,1,0
159,0,38.6,17.0,188.0,2900.0,1,0,0,1
160,2,46.1,13.2,211.0,4500.0,1,1,0,0
161,0,37.8,18.1,193.0,3750.0,0,0,1,0
162,1,45.7,17.3,193.0,3600.0,1,0,1,0
163,0,42.9,17.6,196.0,4700.0,0,0,0,1
164,2,48.4,16.3,220.0,5400.0,0,1,0,0
165,0,36.7,19.3,193.0,3450.0,1,0,0,1
166,0,36.2,17.2,187.0,3150.0,1,0,0,1
167,0,37.5,18.9,179.0,2975.0,0,0,1,0
168,0,36.6,17.8,185.0,3700.0,1,0,0,1
169,2,49.6,15.0,216.0,4750.0,0,1,0,0
170,2,46.4,15.0,216.0,4700.0,1,1,0,0
